,Date,Open,High,Low,Close,Volume,Market Cap(USD)
378,2018-08-14,533.56370062,533.56370062,482.26989505,502.31983194,107855.44597396,54177929.49550766
377,2018-08-13,572.4277381,588.40349505,529.05640298,533.69187257,71997.51618665,38424489.2338061
376,2018-08-12,563.26711363,581.42497747,557.36430679,572.64117595,42658.87028297,24428225.64360116
375,2018-08-11,574.96928956,580.04516062,544.45735212,563.66133683,65249.0362956,36778359.02510254
374,2018-08-10,608.54060319,611.15863965,567.0126656,575.19809551,64266.04208332,36965705.01247634
373,2018-08-09,588.89270178,617.79446106,582.00556265,608.93952015,59256.94065981,36083893.0106449
372,2018-08-08,666.66957685,666.66957685,580.01081948,584.02166309,119632.40762298,69867917.65974869
371,2018-08-07,693.32732473,711.56041771,662.30244194,666.26011129,65731.61805428,43794355.16030714
370,2018-08-06,707.13441653,712.27894529,686.57451385,692.94074726,37946.5045816,26294679.24053124
369,2018-08-05,695.7571643,711.2053639,690.62012701,706.67475411,36537.35366455,25820025.41661973
368,2018-08-04,722.67025803,730.3126177,693.08183992,695.59890497,43223.05866652,30065912.27772467
367,2018-08-03,730.9646343,730.9646343,708.45176224,722.60723856,54496.66261418,39379682.88233596
366,2018-08-02,766.62456635,770.81614846,726.66383727,731.81519547,43174.18777475,31595526.66569254
365,2018-08-01,778.69749267,778.69749267,745.54526232,766.13739829,91080.95231796,69780523.84277087
364,2018-07-31,812.45963577,812.64942589,764.76030932,778.82242886,55301.80153081,43070283.38871674
363,2018-07-30,829.55964604,830.79771865,790.99073216,812.27399326,65077.25687068,52860563.30886578
362,2018-07-29,822.46447654,835.4124324,814.64760981,829.63105758,41357.2045288,34311221.33168423
361,2018-07-28,821.33251297,826.98192125,806.08478459,820.17575101,27674.37586459,22697852.00834812
360,2018-07-27,809.94956471,828.03393633,786.64921395,820.16863262,62359.72236003,51145488.21863273
359,2018-07-26,832.27964703,856.70531166,800.83671657,810.7180193,63079.62825234,51139791.27509837
358,2018-07-25,866.30872521,875.7107069,824.10783092,833.94278496,73820.33327443,61561934.31776518
357,2018-07-24,788.00137864,872.98938785,780.26590468,868.8535197,116394.9119826,101130128.95152631
356,2018-07-23,796.95342601,832.04737719,786.63267408,788.306832,81138.10721028,63961724.24943905
355,2018-07-22,793.39353343,820.84200998,787.65039143,798.13573439,58846.03378239,46967122.38910213
354,2018-07-21,770.73780011,802.12391391,751.40738454,795.53181047,51388.69687061,40881343.05930429
353,2018-07-20,827.57538785,827.57538785,767.67570865,770.09637918,86853.21394482,66885345.57867412
352,2018-07-19,828.4046013,842.99129322,811.4038704,827.43183736,69474.63490502,57485524.80913883
351,2018-07-18,856.21684745,887.3860738,815.75786959,830.97306925,99310.13423734,82524047.05478485
350,2018-07-17,803.03609121,866.90989559,787.18258387,856.03255961,124441.32061322,106525822.20546453
349,2018-07-16,726.33246831,809.60655574,721.64700258,807.08250781,125800.79243743,101531619.04549529
348,2018-07-15,710.3683368,732.19817721,707.87273352,725.54603014,41107.17834651,29825150.05965153
347,2018-07-14,699.47805236,713.84340782,695.76320044,710.26470967,29929.67428594,21257991.41717377
346,2018-07-13,687.3964914,714.6070172,686.94519619,698.44899951,51351.895026,35866679.70371499
345,2018-07-12,710.78939983,710.78939983,672.2623462,683.18889409,64384.65859217,43986883.69962908
344,2018-07-11,690.020842,712.12213191,688.69578624,710.28678769,53105.0419301,37719809.64272304
343,2018-07-10,732.64340973,739.24725563,689.94673604,690.10027418,78474.57568328,54155326.19527464
342,2018-07-09,754.52769258,758.52994904,732.28048049,732.749486,45905.70344078,33637380.60051463
341,2018-07-08,765.1267188,773.2682002,747.84049738,754.88603115,53441.99858771,40342618.21038124
340,2018-07-07,733.08382693,765.44351767,715.85851033,763.45325437,46550.13668007,35538853.33964182
339,2018-07-06,742.05442837,742.05442837,703.4134347,733.89837904,56265.46139237,41293130.91195076
338,2018-07-05,764.59821091,782.31841312,719.05737832,738.69822404,87508.05179931,64642042.45341424
337,2018-07-04,756.91272311,802.45275522,740.90322397,762.81245763,81998.28093009,62549310.19754434
336,2018-07-03,780.47056429,825.32294631,753.78123898,757.03329102,98437.42283454,74520406.16751292
335,2018-07-02,738.02642195,786.65764824,727.37188275,780.19960699,76955.09991813,60040338.71211463
334,2018-07-01,748.18494119,752.7123981,719.6143113,738.22392389,48732.0410882,35975158.5910609
333,2018-06-30,712.3197289,765.59667282,712.3197289,748.3870521,89293.27024939,66825927.29461284
332,2018-06-29,663.45892361,732.76508761,654.87215384,712.34569134,87860.07699834,62586747.2901585
331,2018-06-28,712.68902074,718.90460632,656.62545262,664.43952182,64591.58787896,42917203.76415954
330,2018-06-27,701.9012574,722.90736099,694.42898055,712.84168542,75298.14516718,53675656.70976935
329,2018-06-26,755.66547026,757.45293227,701.03973957,701.03973957,60902.26862098,42694910.53329634
328,2018-06-25,748.57612366,777.13530175,738.20202054,755.4893822,79113.5055396,59769413.42364009
327,2018-06-24,762.76783086,768.84838947,672.37287648,748.46562649,140960.51483407,105504100.04588796
326,2018-06-23,751.70798777,775.2256314,733.67795236,763.03405157,64725.38327084,49387671.43663495
325,2018-06-22,873.73027344,875.62808631,722.97681852,751.31222407,148081.48264028,111255428.06618164
324,2018-06-21,891.57619199,900.9237168,871.92860252,874.32684847,40424.42643465,35344161.36567424
323,2018-06-20,907.14327868,907.34078284,868.14224759,891.3029164,68816.52528294,61336369.6810827
322,2018-06-19,884.28967803,922.13075148,875.0371047,904.18415781,61958.19737536,56021620.51335633
321,2018-06-18,852.95205944,896.98833491,831.15013106,883.6041344,54107.06308277,47809224.64003302
320,2018-06-17,853.50217376,862.95110004,850.04460148,853.60199668,30233.8416324,25807667.58473779
319,2018-06-16,847.84925562,862.00290905,836.05215528,853.35476055,37455.44370943,31962781.19808248
318,2018-06-15,897.12733715,898.71523416,844.05498242,845.74491558,52624.30000259,44506734.16333109
317,2018-06-14,845.56379891,903.27192976,832.11716919,897.64583342,91951.16919354,82539583.90426233
316,2018-06-13,875.06172449,885.89568478,807.61037694,845.58079858,100319.89042418,84828573.0583529
315,2018-06-12,954.80872246,958.14157938,861.36348388,878.06036854,94142.55668796,82662848.02030408
314,2018-06-11,937.72763352,973.30163677,905.20198377,956.86804026,96268.41311706,92116167.79857153
313,2018-06-10,1091.0553281,1091.0553281,905.48564603,934.44507959,142952.84011696,133581578.06118858
312,2018-06-09,1117.11256316,1136.65574011,1091.68303569,1091.68303569,41355.82498724,45147452.56557702
311,2018-06-08,1145.14490333,1149.66296359,1092.95426937,1116.58342736,54239.03661115,60562409.39611576
310,2018-06-07,1130.34478832,1165.51030932,1130.34478832,1142.30762759,64292.81246209,73442170.07496808
309,2018-06-06,1149.22638805,1154.6274011,1103.53770669,1131.07790621,84821.67404214,95939921.47645974
308,2018-06-05,1098.85285308,1157.4007656,1052.8624276,1147.96669258,93864.68951597,107753537.1735845
307,2018-06-04,1169.44939923,1205.4632461,1079.20511232,1102.79855554,126154.2150198,139122686.09913242
306,2018-06-03,1085.37933757,1186.61318254,1077.1028386,1167.27522232,112263.58101994,131042496.4933911
305,2018-06-02,1002.67330353,1095.23515634,995.77498153,1085.64603218,72109.7553555,78285669.7830608
304,2018-06-01,998.39266162,1010.26785185,981.46084235,1002.53471743,53038.76543949,53173203.7227158
303,2018-05-31,984.36444187,1029.09340946,974.90894465,997.2280535,75239.86101605,75031300.1469105
302,2018-05-30,989.24358268,1025.2610692,952.89451865,983.31459098,81389.88572791,80031862.1944853
301,2018-05-29,890.10032048,1005.87863189,879.66059745,986.14940339,106577.34135226,105101181.58902544
300,2018-05-28,999.09167062,1004.58214504,883.56628665,892.86266559,76724.12080692,68504103.01862843
